,currency,amount,buy_date,sell_date,buy_basis,sell_basis,pnl,long_term
0,ETH,1,2017-01-01 00:00:00.000,2017-05-31 00:00:00.000,8.25,207.44,199.19,False
1,ETH,1,2017-01-01 00:00:00.000,2018-12-01 00:00:00.000,8.25,115.0,106.75,True
2,BTC,0.0099999911,2017-01-01 00:00:00.000,2020-01-21 21:12:58.902,1000.0,8642.88,76.43,True
3,BTC,0.2,2017-01-01 00:00:00.000,2020-01-21 21:13:49.280,1000.0,8701.38,1540.28,True
4,ETH,0.51395867,2020-01-21 21:12:58.902,2020-01-24 20:54:19.465,168.16,161.63,-3.36,False
